8,1.8,10,1152,1,4.4
8,0.9,9,584,1,2.7
7,1.8,9.2,738,1,3.9
8,1.7,9,1280,1,4.6
6.1,1.5,9.2,768,1,3.3
5.4,1.2,8,480,0,0.4
8.3,0.7,5.5,256,0,0.55
6.1,0.7,9.2,232,1,1.1
8.2,1.5,9.4,864,1,3.5
9,2,10.9,1464,1,6.7
5.5,1,8.3,300,0,1.1
5.7,0.8,8.3,320,0,0.55
5.2,1.1,8,223,1,0.71
6.4,1.5,9.5,512,1,1.8
7.8,2.2,10.1,1460,1,5.6
7.5,1.1,9.1,832,0,2.5
5.9,0.6,9.8,819,0,4.2
6.9,1.1,9.9,725,0,2.3
4.2,1.1,6.7,544,0,3.2
8.2,2.4,10.3,1640,1,7.2
9.3,2,11.2,1267,1,7.6
8.2,2.3,10.2,2057,1,7.7
5.5,1.1,8.6,641,1,1.6
4.2,1.1,7.1,400,0,0.45
5.3,0.7,8.3,288,0,0.7
4.1,1,6.8,320,0,0.45
6,0.3,8.6,102,0,0.4
7.5,0.9,9.2,480,0,1.9
7.6,1.3,9.4,768,1,2.9
6.6,1.1,9.1,642,1,1.6
6.6,1.7,9.4,576,1,2.1
8.5,1.7,9.9,1267,0,4.8
7.5,1.1,9.1,832,0,2.5
6.4,1.1,9.3,224,1,0.95
6.6,1,9.5,304,1,1.2
8.7,1.7,11.1,1136,1,5.1
8.6,1,11,587,1,3.3
8.5,0.7,10.9,480,0,2.6
7.2,1.1,10,432,1,2
5.5,1.6,6.3,656,0,1.2
8.4,1.5,10.8,1022,0,4.9
8.1,1.7,9.4,598,0,2.7
7,0.9,9.2,451,0,1.5
6,0.5,9,277,0,0.7125
6,0.3,9,140,0,0.45
7.9,2.4,10,2032,1,5.6
8.7,1.4,11.1,768,1,4
5.9,1.1,9.1,512,0,1.2
6,1.1,9,248,1,1.2
7.6,1.4,10.2,736,1,4.1
7.5,0.5,9.2,234,0,0.9
6.1,1.5,9.2,726,1,2.6
7.4,1.1,9.6,496,1,2.2
6,1,9.2,368,0,1.2
5.1,0.9,7.8,224,0,0.7
5.1,0.8,8.5,464,0,0.95
